id_product,product_name,description
47,Aerie Boybrief,"Our #1 fit. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6443-4801 | color: 328 Comfy, stretchy cotton Low rise No cheek peek Binding at waist & leg openings Pretty bow at front Aerie undies: Your panty drawer just got REAL. 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
48,Aerie Boybrief,"It all started with a boybrief: our original fit! It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-1499 | color: 073 Comfy, stretchy cotton Aerie undies: your panty drawer just got REAL! Everyday Loves Collection Binding at waist and leg openings We call them favorites for a reason Low rise 93% Cotton, 7% Spandex Machine Wash Imported read more read less"
49,Aerie Shine Boyshort + Boho Lace,"Shine on. A peek of cheek meets peace, love and lace. style: 5779-6110 | color: 410 Smooth shine fabric + Boho lace Low rise No cheek peek Boho lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 85% Nylon, 15% Elastane Machine Wash Imported read more read less"
50,Aerie Hi-Leg Bikini,"New! Hi-leg fit. Your go-to fave with a peek of cheek, updated with a new hi-leg fit for a lot of WOW! style: 6447-5511 | color: 100 Comfy, stretchy cotton Hits higher on the waist A peek of cheek Hi-leg Elastic waistband 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
51,Aerie Boybrief,"We'll keep this brief. It all started with a boybrief: our original fit! 10 years later, it's still our #1 fit. style: 6443-5448 | color: 410 Comfy cotton Low rise No cheek peek Wide lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 95% Cotton, 5% Elastane Imported read more read less"
52,Aerie Thong,"Total cheek! The soft and comfy cotton you love in the fit you go to. style: 5442-5400 | color: 030 Comfy, stretchy cotton Aerie undies: Your panty drawer just got REAL. V-back detail Low rise Total cheek! 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
53,Aerie Logo Boybrief,"Better than the boys’… It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-5100 | color: 536 Comfy, stretchy cotton Signature logo waistband We call them favorites for a reason Undies: the REAL way to say panties. Low rise 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
54,Aerie Shine Boyshort + Boho Lace,"Shine on. A peek of cheek meets peace, love and lace. style: 5779-6110 | color: 382 Smooth shine fabric + Boho lace Low rise No cheek peek Boho lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 85% Nylon, 15% Elastane Machine Wash Imported read more read less"
55,Aerie Thong,"Oh happy day…Comfy, o-so-cute & total cheek! Everyday, loves: Listen to your heart. Get comfy. Be happy...& happiness is comfy cotton and total cheek! style: 5441-5351 | color: 030 Comfy, stretchy cotton Undies: the REAL way to say panties. Simply sexy solid colors Wide lace waistband We call them favorites for a reason Low rise Total cheek! 93% Cotton, 7% Spandex Machine Wash Imported read more read less"
56,Aerie Seamless Boybrief,"Our #1 fit. Smooth: No seams. All comfort. Real comfy. style: 1774-5447 | color: 933 Smooth seamless fabric Aerie undies: Your panty drawer just got REAL. Low rise No cheek peek 93% Nylon, 7% Elastane Machine Wash Imported read more read less"
