id_product,product_name,description
465,Pretty Lace Thong,"Keep fitted silhouettes seam-free with this pretty taupe lace thong underneath. A semi-sheer style with a mid rise fit and strap detail. 66% Polyamide, 22% Viscose, 12% Elastane. Machine wash."
466,Colourblock Mini Knickers,"Navyblauer und pflaumenfarbener, sportlicher Minislip in Blockfarben. 85 % Polyamid, 15 % Elastan. Maschinenwäsche."
467,Lace Thong,"Burnt orange lace balcony bra and thong set. 89% Nylon, 11% Elastane. Machine wash."
468,Sporty Lace Triangle Bra,"Sporty lace triangle bra and mini knickers set. 6% Polyamide, 14% Elastane. Machine wash."
469,Heart Print Microfibre Thongs,"Keep comfy in this low rise nude microfibre thongs in cute heart print. Comes with a lace trim. 86% Polyamide, 14% Elastane. Machine wash."
470,**Triangle Bra by TOPSHOP BRIDE,"Perfect your bridal under layer in this pretty ivory triangle bra with luxy lace trim detail. 96% Polyester, 4% Elastane. Machine wash."
471,Body by Somedays Lovin',"Black body by Somedays Lovin. 85% Polyester, 15% Elastane. Machine wash."
472,**Bralet by TOPSHOP BRIDE,Bralet with non-padded underwired cups for a supported natural shape. 100% Polyester. Machine wash.
473,Somedays Lovin' Bra,"Black 'break of dawn' bra by Somedays Lovin. 85% Polyester, 15% Elastane. Machine wash."
474,**Mini Knickers by TOPSHOP BRIDE,"Elevate your bridal intimates with these pretty ivory knickers in a satin-feel. 96% Polyester, 4% Elastane. Machine wash."
475,Patterned Elastic Triangle Bra,"Get pretty with your intimates in this non-padded triangle bra in a patterned design with non-wired cups for a barely-there, natural shape. 86% Polyester, 14% Elastane. Machine wash."
476,Two Tone Lace Bralet,"Delicate lace is the focus of this pretty two-tone bralet in nude. 49% Polyamide, 36% Polyester, 15% Elastane. Machine wash."
477,Branded Mini Knickers,"Cobalt blue jersey mini knickers with perforated black branded waistband. 95% Cotton, 5% Elastane. Machine wash."
478,Basque by Bluebella,"Black basque by Bluebella. 85% Polyester,15% Elastane. Machine wash."
479,Yasallie Mini Knickers by Yas,"Black mini knickers by Yas. 90% Polyamide, 10% Elastane. Machine wash."
480,Laura Body by Bluebella,"Rosa Body von Bluebella. 90 % Polyamid, 10 % Elastan. Maschinenwäsche."
481,Bohemian Mini Knickers,"|Premium aqua mini knickers with applique and strap detailing. 84% Polyamide, 16% Elastane. Machine wash.|"
482,Brazilian Knickers,"Go luxe with your intimates in these brazilian knicker in a sultry deep berry hue. 88% Polyamide, 12% Elastane. Machine wash."
483,Logo Waistband Knickers by Calvin Klein,"This classic Calvin Klein lingerie set comes with a bralet and matching knickers. Both pieces boast a branded stretch waistband. 53% Cotton, 35% Modal, 12% Elastane. Machine wash."
484,**Mini Knickers by TOPSHOP BRIDE,"In a beautiful ivory lace, these low-rise mini knickers come with good coverage and are perfect for wearing under your wedding dress. 100% Polyester. Machine wash."
485,Spot Chiffon Mini Knickers,Lingerie set featuring non-padded lingerie bra with non-wired cups with front fastening and mini knickers with low coverage. 100% Polyester. Machine wash. 100% Polyester. Machine wash.
486,Jersey and Mesh Mini Knickers,"Mini with mesh back coverage. 89% Polyamide, 11% Elastane. Machine wash."
487,Sporty Bra,"Pale blue sporty bra. 49% Polyamide, 39% Polyester, 12% Elastane. Machine wash."
488,Geo Lace Floral Bra,"Add a pop of colour to your lingerie collection in this vibrant fuschia non-padded bra with underwired cups for a barely-there feel with discreet support. 85% Nylon, 15% Elastane. Machine wash."
489,Bra by Bluebella,"Black bra by Bluebella. 85% Polyester, 15% Elastane. Machine wash."
490,Patterned Elasticated Mini Knickers,"Get pretty with your intimates in these low-rise elasticated mini knickers in a patterned finish with good coverage. 86% Polyester, 14% Elastane. Machine wash."
491,Cotton Lace Trim Mini Knickers,"Aqua cotton mini knickers with pretty lace trim detail. 95% Cotton, 5% Elastane. Machine wash."
492,Eyelash Lace Thong,Revamp your underwear collection with this unique low rise thong featuring eyelash lace and strappy detailing. 100% Polyamide. Machine wash.
493,Pretty Lace Triangle Bra,"Add a level of sophistication to your lingerie with our khaki lace triangle bra. 88% Polyamide, 12% Elastane. Machine wash."
494,Soft Triangle Bra by Bluebella,"Black soft triangle bra by Bluebella with gold metal detail. 90% Polyamide, 10% Elastane. Machine wash."
495,Strappy Mesh Bralet,"Add a sultry touch to your underwear with this strappy bra and knicker set. Bra comes lightly padded with underwired cups for a smooth shape and added support, while the knickers come in a low rise fit with good coverage. 79% Polyamide, 21% Elastane. Machine wash."
496,Satin and Lace Plunge Bra,"Opt for a pretty touch to your lingerie basics in this lightly padded bra with a plunging neckline and underwired cups for added support. 89% Polyamide, 11% Elastane. Machine wash."
497,Yasallie Bra by Yas,"Rose bra by YAS with front clasp. 90% Polyamide, 10% Elastane. Machine wash."
498,Strawberry Applique Triangle Bra,"Seriously upspec your lingerie collection with this stunning triangle bra with non-wired cups. It features cute strawberry applique as well as cross-straps to the back and strappy detail to the front. 89% Polyamide, 11% Elastane. Machine wash."
499,Branded Thong,"Add a sporty touch to your basics with this cobalt thong featuring ‘TOPSHOP’ branding to the waistband. 95% Cotton, 5% Elastane. Machine wash."
500,Mesh Bralet by Somedays Lovin',"Burnout mesh bralet with floral detail. Matches with knickers. 92% Polyester, 8% Elastane. Machine wash."
501,No VPL Animal Print Thong,"Nude no-VPL thong in all-over animal print. 84% Polyamide, 16% Elastane. Machine wash."
502,Floral Geo Lace Triangle Bra,"Non-padded triangle bra with non-wired cups for a barely there, natural shape. 85% Nylon, 15% Elastane. Machine wash."
503,Floral Balcony Bra,"Delicate floral lace is the focus of this balcony bra. With underwired cups for a smooth shape and added support. 90% Polyamide, 10% Elastane. Machine wash."
504,Padded Bralet,"Khaki satin bralet with underwire and padding 89% Polyamide,11% Elastane. Machine washable."
505,Floral Lace Thong,"Add luxe lace to your underwear collection with these low rise thongs in pale pink. 90% Polyamide, 10% Elastane. Machine wash."
506,Lace Triangle Bra,"Delicate floral lace is the focus of this triangle bra. With a matching underband, racer-back detail and front fastening. 85% Nylon, 15% Elastane. Machine wash."
507,Bra by Somedays Lovin',Black bra by Somedays Lovin'. 100% Nylon. Machine wash.
508,Sporty Thong,"Bright pink sporty thong. 85% Polyamide, 14% Elastane, 1% Polyester. Machine wash."
509,Blue Bra by Somedays Lovin',Blue bra by Somedays Lovin'. 100% Rayon. Machine wash.
510,Lacey Body,"Think sultry base layers to elevate your look underneath. This black lace body comes in a sheer, strappy design, with padded cups for added support. 90% Nylon,10% Elastane. Machine wash."
511,Suspenders by BlueBella,"Pink suspenders by BlueBella. 89% Polyamide, 11% Elastane. Machine wash."
