id_product,product_name,description
94,Organic Cotton Crop Top,"Versatile cropped cami-bralette in our lightweight stretch jersey made from ultra-premium Supima® cotton, organically-grown in the USA, blended with a touch of spandex for a perfect fit."
95,Mysterious Feline Padded Bralette,Rawr!
96,Elizabeth Keyhole Bikini,The gold standard.
97,Signature Lace Low Rise Thong Rose,"Give her a long stem rose, wrapped in clear cellophane with a hang tag attached. When she releases the pin to unfold her low rise thong, she reveals a silk rose underneath."
98,Mesh Dot Bikini,Spot on in airy stretch mesh.
99,Signature Lace *Plus Size* Betty Brief,This super-comfy brief is our flirty version of “granny panties.”
100,Mysterious Feline *Plus Size* Retro Thong,Rawr!
101,Silky Luxe Chemise,Vintage elegance and modern comfort.
102,Bermuda Nights French Brief,Tropical brights.
103,Peek-a-Boo Lace Teddy,Provocatively sheer Chantilly-style teddy that wows.
104,BARE Boyshort,Truly-- what to wear when you want to look BARE®.
105,"Leopard BARE ""Godiva"" Hi-Rise Thong",Spot on style.
106,Rolled Sophisticat Boyshort,The Essential Leopard Print
107,Supima® Cotton Sleep Set,Get your best sleep yet with this cotton sleep set.
108,Signature Lace *Petite Size* Boyshort,A must-have for every woman's lingerie drawer.
109,Donkey Original Rise Thong Election 3 Pack,Our boxed donkey election pack is perfect for the democrat in your life. 
110,Violet Spray *Plus Size*Retro V-kini,Purple posies.
111,Rolled Star Spangled Boyshort,Starry eyed.
112,Sophisticat Low Rise Thong,The Essential Leopard Print
113,Crotchless Thong with Mesh,This hot commodity will have you turning up the heat in no time.
114,Love Tied Tie Back High Neck Open Bodysuit,Wrapped with a bow.
115,Star Spangled Original Rise Thong,Starry eyed.
116,Bridesmaid Low Rise Thong,"Repay your debt of gratitude with a bridesmaid gift that'll make ladies of all ages swoon: a low rise thong bedecked with crystals spelling out ""Bridesmaid""."
117,Alexandra Lace Eyemask,For the love of lace.
118,Heather Jersey Low Rise Thong,Stay cozy in Heather.
119,Bride Signature Lace Classic Camisole,Let everyone know it’s your big day in our signature lace camisole with the word “Bride” spelled out across the chest in rhinestones.
120,3 Pack Organic Cotton Low Rise Thongs with Lace,"Trimmed in our beloved signature stretch lace, our Cotton with a Conscience® styles will keep you feeling cool, comfortable and sexy too!"
121,Bermuda Nights Low Rise Thong,Tropical brights.
122,Striped Original Rise Thong & Organic Cotton Socks,Our latest collaboration!  Match set of our Chalk Stripe Original Rise Thong and a pair of Z'kano Organic Cotton Striped Crew Socks.
123,Signature Lace Bikini,You'll love our classic bikini.
124,Zebra Original Rise Thong,Feel exotic with this zebra print.
125,Cross-Dyed Retro V-Kini,Your favorite Retro silhouettes in sophisticated floral cross-dyed lace.
126,Serpentine Original Rise Thong,Slithering snake.
127,Rolled Stars & Stripes Original Rise Thong,Perfectly patriotic.
128,Silky Luxe Cami,"Vintage elegance and modern comfort. Hanky Panky Silky is made from a naturally hydrophilic filament rayon Lycra® spandex blend which resists generating static, as compared to synthetic fibers."
129,Long European Flannel Robe,Snuggle up in our luxurious yarn-dyed cotton flannel robe.
130,Bride Plus Size Thong,"You're only a bride for so long -- make it count! Show off the B-word on a original rise plus size thong bearing sparkly, flirty cursive."
131,Sophia Lace Bodysuit,Wisdom & Beauty
132,Mrs. Low Rise Thong,A new title (Mrs.!) deserves an irresistible low rise thong to remind you of the good news.
133,Leopard Nouveau Classic Camisole,You'll want to be spotted in Leopard Nouveau.
134,Phoebe Leg Garter with Gift Box,The Phoebe Leg Garter is a perfect gift for that special day!
135,30 Pack Low Rise Thongs in Lucite Jar,For the ultimate Hanky Panky collector! This limited edition jar opens to 30 of your favorite low rise signature lace thongs. Perfect for gifting or treating yourself!
136,Cotton Poet Nightshirt,"To sleep, perchance to dream."
137,Signature Lace *XXS* Low Rise Thong,"An even smaller version of our best-selling thong, the XXS Low Rise thong is designed to fit women who wear sizes 000 to 0."
138,Cross-Dyed *Plus Size* Betty Brief,This super-comfy brief is our flirty version of “granny panties.”
139,Heather Jersey Original Rise Thong,Stay cozy in Heather.
140,Aloha Low Rise Thong,Holiday in Hawaii.
141,Fiery Floral *Plus Size* Retro Thong,Red Hot!
142,Silky 30” Convertible Slip,"Hanky Panky Silky is the ideal fabric for underpinnings. Made from a naturally hydrophilic filament rayon Lycra® spandex blend, it resists generating static, as compared to synthetic fibers."
143,Signature Lace Crotchless Cheeky Hipster,Leave little to the imagination with this crotchless cheeky hipster.
144,Rolled Signature Lace Original Rise Thong,A must-have for every woman's lingerie drawer.
145,Just Married Signature Lace Cheeky Hipster,"You're only a bride for so long--make it count! Show off your Just Married status on a sheer lace hipster panty bearing sparkly, flirty crystals."
146,Wink Plaything,Wink wink.
